URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://ltsi.univ-rennes.fr/ValueSet/VSEventTypeData,0.1.0,draft,,VSEventTypeData,Event Types Data,"ValueSet for various event types used in French healthcare systems.","StructureDefinition/eventTypeData","Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsCommunicationModes,0.1.0,draft,,VSCommunicationModes,Communication modes,"ValueSet for communication modes (Incrémental, Récapitulatif).",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsLOINC,0.1.0,draft,,VSLOINC,LOINC codes,"ValueSet of LOINC codes.",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsMedicalUnits,0.1.0,draft,,VSMedicalUnits,Medical units,"ValueSet for medical units (accommodation, medical liability unit).",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsMedicationItemProvenance,0.1.0,draft,,VSMedicationItemProvenance,Medication item provenance,"ValueSet for medication item provenance.","StructureDefinition/medication-item-provenance","Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsMedicationLTIExemption,0.1.0,draft,,VSMedicationLTIExemption,Medication LTI Exemption,"ValueSet for medication LTI exemption.","StructureDefinition/medication-lti-exemption","Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsMedicationStatus,0.1.0,draft,,VSMedicationStatus,Medication status,"ValueSet for medication status.","StructureDefinition/medication-status","Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsMedicationTypes,0.1.0,draft,,VSMedicationTypes,Medication types,"ValueSet for medication types.","StructureDefinition/medication-type","Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsMedications,0.1.0,draft,,VSMedications,Medications,"ValueSet for medications.",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/vsPrescriptionCategory,0.1.0,draft,,VSPrescriptionCategory,Prescription status,"ValueSet for PlanDefinition types, extended to include Création, Arrêt, Modification and Validation.",,"Internal,FHIR"
http://ltsi.univ-rennes.fr/ValueSet/vsSCT,0.1.0,draft,,VSSCT,SNOMED CT codes,"ValueSet of SNOMED CT codes.",,"Internal"
