"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ElementPrescriptionMedicalePharmacienLivrePN13","ElementPrescriptionMedicalePharmacienLivrePN13","","","",0,*,"","","","null {[]} {[]}
","Element Prescription Medicale Pharmacien Livre PN13","Element Prescription Medicale Pharmacien Livre provenant de la norme PN13, A TRADUIRE as defined in the PN13","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"ElementPrescriptionMedicalePharmacienLivrePN13.idPrescription","ElementPrescriptionMedicalePharmacienLivrePN13.idPrescription","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.idPrescription",1,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.typeElementPrescription","ElementPrescriptionMedicalePharmacienLivrePN13.typeElementPrescription","","","",0,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.typeElementPrescription",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.forme","ElementPrescriptionMedicalePharmacienLivrePN13.forme","","","",0,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.forme",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.libelleElementPrescription","ElementPrescriptionMedicalePharmacienLivrePN13.libelleElementPrescription","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.libelleElementPrescription",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.creationArretModificationValidation","ElementPrescriptionMedicalePharmacienLivrePN13.creationArretModificationValidation","","","",0,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.creationArretModificationValidation",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.urgent","ElementPrescriptionMedicalePharmacienLivrePN13.urgent","","","",0,1,"","","","boolean {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.urgent",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.validationPharmaceutique","ElementPrescriptionMedicalePharmacienLivrePN13.validationPharmaceutique","","","",0,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.validationPharmaceutique",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.propositionPharmaceutique","ElementPrescriptionMedicalePharmacienLivrePN13.propositionPharmaceutique","","","",0,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.propositionPharmaceutique",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.fourniture","ElementPrescriptionMedicalePharmacienLivrePN13.fourniture","","","",0,1,"","","","boolean {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.fourniture",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.idpPrescripteur","ElementPrescriptionMedicalePharmacienLivrePN13.idpPrescripteur","","","",0,1,"","","","Identifier {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.idpPrescripteur",0,1,"",""
"ElementPrescriptionMedicalePharmacienLivrePN13.voieAdministration","ElementPrescriptionMedicalePharmacienLivrePN13.voieAdministration","","","",0,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ElementPrescriptionMedicalePharmacienLivrePN13.voieAdministration",0,1,"",""
