URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://ltsi.univ-rennes.fr/ValueSet/Laterality,0.1.0,draft,,Laterality,Tumor Laterality Value Set,"Tumor laterality",,"THO"
http://ltsi.univ-rennes.fr/ValueSet/Morphology,0.1.0,draft,,Morphology,Morphology Value Set,"Cancer morphology",,"THO"
http://ltsi.univ-rennes.fr/ValueSet/Topography,0.1.0,draft,,Topography,Topography Value Set,"Cancer topography",,"THO"
http://ltsi.univ-rennes.fr/ValueSet/TreatmentType,0.1.0,draft,,TreatmentType,Treatment Type Value Set,"Treatment type",,"THO"
http://ltsi.univ-rennes.fr/ValueSet/TumorPathologyEventType,0.1.0,draft,,TumorPathologyEventType,Tumor Pathology Event Type Value Set,"Tumor pathology event type",,"THO"
http://ltsi.univ-rennes.fr/ValueSet/concept-medication-oncofair-valueset,0.1.0,draft,,ConceptMedicationOncoFAIRValueSet,Concepts Medication Value Set,"Value Set pour différiencier les niveaux de MR/MA",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/medical-units-oncofair-valueset,0.1.0,draft,,MedicalUnitsOncoFAIRValueSet,Medical units Value Set,"ValueSet for medical units (accommodation, medical liability unit).",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/medications-oncofair-valueset,0.1.0,draft,,MedicationsOncoFAIRValueSet,Medications Value Set,"ValueSet for medications.",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-gonogo-oncofair-valueset,0.1.0,draft,,SIPhgoNogoOncoFAIRValueSet,goNogo Value Set,"Value Set pour goNogo",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-listeald-oncofair-valueset,0.1.0,draft,,SIPhListeALDOncoFAIRValueSet,Liste Affectation Longue Durée Value Set,"Value Set pour ListeALD",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-natureproppharm-oncofair-valueset,0.1.0,draft,,SIPhNaturePropPharmOncoFAIRValueSet,Nature proposition pharmaceutique Value Set,"Value Set pour NaturePropPharm",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-paramposoconditionnelle-oncofair-valueset,0.1.0,draft,,SIPhParamPosoConditionnelleOncoFAIRValueSet,Paramètres posologie conditionnelle,"Value Set pour ParamPosoConditionnelle",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-renscomplement-oncofair-valueset,0.1.0,draft,,SIPhRensComplementOncoFAIRValueSet,Renseignement complémentaire Value Set,"Value Set pour RensComplement",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-statutcomposantadm-oncofair-valueset,0.1.0,draft,,SIPhStatutComposantAdmOncoFAIRValueSet,Statut composant administré Value Set,"Value Set pour StatutComposantAdm",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-statutvalidpharm-oncofair-valueset,0.1.0,draft,,SIPhStatutValidPharmOncoFAIRValueSet,Statut validation pharmaceutique Value Set,"Value Set pour StatutValidPharm",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-type-liasion-oncofair-valueset,0.1.0,draft,,SIPhTypeLiasionOncoFAIRValueSet,Type de liaison Value Set,"Value Set pour Type Liaison",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-typecomposant-oncofair-valueset,0.1.0,draft,,SIPhTypeComposantOncoFAIRValueSet,Type de composant Value Set,"Value Set pour TypeComposant",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-typeeltpla-oncofair-valueset,0.1.0,draft,,SIPhTypeEltPLAOncoFAIRValueSet,Type de l'élément d'administration Value Set,"Value Set pour TypeEltPLA",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-typeevenement-oncofair-valueset,0.1.0,draft,,SIPhTypeEvenementOncoFAIRValueSet,Type de l'évènement Value Set,"Value Set pour TypeEvenement",,"Internal"
