Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ltsi.fhir.oncofair.json	28232	-	0	0	0	0	0	0	5	43	0	0	0	0	0	0	0	1	0	0	137	160	0	0	0	5	0	1
fsh-generated/resources/CarePlan-ExampleOncoFAIRCarePlan.json	2065	17	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	26	18	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-concept-medication-oncofair-codesystem.json	742	9	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	1484	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medical-units-oncofair-codesystem.json	31300	26	1	0	1	0	0	0	4	47	0	0	0	0	0	0	0	1	0	0	218	297	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-medications-oncofair-codesystem.json	1145	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	21	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-siph-gonogo-oncofair-codesystem.json	739	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-listeald-oncofair-codesystem.json	3936	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	38	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-natureproppharm-oncofair-codesystem.json	740	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	21	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-siph-paramposoconditionnelle-oncofair-codesystem.json	1109	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	25	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-renscomplement-oncofair-codesystem.json	1239	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-statutcomposantadm-oncofair-codesystem.json	1088	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-statutvalidpharm-oncofair-codesystem.json	610	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-type-liaison-oncofair-codesystem.json	919	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-typecomposant-oncofair-codesystem.json	1523	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	15	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-siph-typeeltpla-oncofair-codesystem.json	1087	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-typeevenement-oncofair-codesystem.json	792	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	31	0	0	0	0	0	0
fsh-generated/resources/Device-ExampleOncoFAIRDevice.json	120	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/DeviceDefinition-ExampleOncoFAIRDeviceDefinition.json	141	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Encounter-ExampleOncoFAIREncounter.json	343	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceAccomodation.json	147	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceMedicalLiability.json	152	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Medication-ExampleOncoFAIRMedication.json	732	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-ExampleOncoFAIRMedicationAdministrationComponent.json	2313	5	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-ExampleOncoFAIRMedicationAdministrationElement.json	3082	3	0	0	0	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-ExampleOncoFAIRMedicationAdministrationReport.json	1017	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-ExampleOncoFAIRMedicationRequestComponent.json	2060	6	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-ExampleOncoFAIRMedicationRequestElement.json	5801	6	1	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	28	30	0	0	0	0	0	1
fsh-generated/resources/MedicationRequest-ExampleOncoFAIRMedicationRequestPrescription.json	1618	2	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleOncoFAIRObservation.json	630	4	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Patient-ExampleOncoFAIRPatient.json	240	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExampleOncoFAIRPractitioner.json	134	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-oncofair-careplan.json	6155	7	0	0	0	0	0	71	0	45	0	0	0	0	0	0	0	1	0	0	319	1637	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-oncofair-cp-treatment.json	4857	5	0	0	0	0	0	14	0	13	0	0	0	0	0	0	0	0	0	0	150	199	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-oncofair-element-form.json	2043	3	0	0	0	0	0	13	0	6	0	0	0	0	0	0	0	1	0	0	49	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-encounter.json	2177	3	0	0	0	0	0	78	0	24	0	0	0	0	0	0	0	1	0	0	296	686	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-oncofair-ma-component-administration-status.json	2478	5	1	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	52	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-oncofair-ma-component-origin.json	2093	4	0	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	48	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-ma-element-expirationdate.json	2147	3	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	130	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-oncofair-ma-element-plannedperiod.json	2704	4	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	69	112	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-ma-element-traceability.json	3812	5	0	0	0	0	0	18	0	10	0	0	0	0	0	0	0	0	0	0	112	142	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-oncofair-ma-element-urgent.json	2034	3	0	0	0	0	0	13	0	6	0	0	0	0	0	0	0	1	0	0	48	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-medication-type.json	2205	6	0	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	51	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-medication.json	1965	5	0	0	0	0	0	29	0	11	0	0	0	0	0	0	0	0	0	0	143	258	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-oncofair-medicationadministration-component.json	8774	6	0	0	0	0	0	75	0	89	0	0	1	0	0	0	0	1	0	0	332	499	0	0	0	8	1	0
fsh-generated/resources/StructureDefinition-oncofair-medicationadministration-element.json	13281	8	0	0	0	0	0	28	0	30	0	0	0	0	0	0	0	1	0	0	442	561	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-oncofair-medicationadministration-report.json	3760	3	0	0	0	0	0	20	0	17	0	0	0	0	0	0	0	1	0	0	225	326	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-oncofair-medicationrequest-component.json	9312	9	0	0	0	0	0	185	0	24	0	0	0	0	0	0	0	2	0	0	512	750	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-oncofair-medicationrequest-element.json	22647	18	0	0	0	0	0	53	0	57	0	0	1	0	0	0	0	3	0	0	1104	1136	0	0	0	24	0	2
fsh-generated/resources/StructureDefinition-oncofair-medicationrequest-prescription.json	7679	5	0	0	0	0	0	22	0	49	0	0	0	0	0	0	0	1	0	0	430	511	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-oncofair-mr-component-solute.json	2023	3	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	49	50	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-element-go-nogo.json	3774	4	1	0	0	0	0	6	0	10	0	0	0	0	0	0	0	1	0	0	113	72	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-element-link-type.json	2070	3	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	49	51	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-element-rank.json	2160	3	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	52	50	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-element-supply.json	2025	3	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	48	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-exempt-ltc.json	2268	4	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	50	46	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-is-dosage-referent.json	2202	2	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	50	50	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-prescription-validation-date.json	1985	3	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	47	43	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-observation.json	3307	4	0	1	0	0	0	16	0	18	0	0	0	0	0	0	0	1	0	0	290	270	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-oncofair-patient.json	1507	2	0	0	0	0	0	13	0	8	0	0	0	0	0	0	0	1	0	0	214	246	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-oncofair-pharmacist-advice.json	4128	4	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	116	78	0	0	0	2	0	0
fsh-generated/resources/ValueSet-concept-medication-oncofair-valueset.json	529	4	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	8	1256	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medical-units-oncofair-valueset.json	520	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	445	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medications-oncofair-valueset.json	469	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	42	0	0	0	0	0	0
