URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://ltsi.univ-rennes.fr/ValueSet/forme-pharmaceutique-valueset,0.1.0,draft,,FormePharmaceutiqueValueSet,null,"Value Set pour la forme pharmaceutique","StructureDefinition/oncofair-element-form","Internal"
http://ltsi.univ-rennes.fr/ValueSet/medical-units-oncofair-valueset,0.1.0,draft,,MedicalUnitsOncoFAIRValueSet,null,"ValueSet for medical units (accommodation, medical liability unit).",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/medications-oncofair-valueset,0.1.0,draft,,MedicationsOncoFAIRValueSet,null,"ValueSet for medications.",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-gonogo-oncofair-valueset,0.1.0,draft,,SIPhgoNogoOncoFAIRValueSet,null,"Value Set pour goNogo","StructureDefinition/oncofair-mr-element-go-nogo","Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-listeald-oncofair-valueset,0.1.0,draft,,SIPhListeALDOncoFAIRValueSet,null,"Value Set pour ListeALD","StructureDefinition/oncofair-mr-exempt-ltc","Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-natureproppharm-oncofair-valueset,0.1.0,draft,,SIPhNaturePropPharmOncoFAIRValueSet,null,"Value Set pour NaturePropPharm","StructureDefinition/oncofair-pharmacist-advice","Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-paramposoconditionnelle-oncofair-valueset,0.1.0,draft,,SIPhParamPosoConditionnelleOncoFAIRValueSet,null,"Value Set pour ParamPosoConditionnelle",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-renscomplement-oncofair-valueset,0.1.0,draft,,SIPhRensComplementOncoFAIRValueSet,null,"Value Set pour RensComplement","StructureDefinition/oncofair-observation","Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-statutcomposantadm-oncofair-valueset,0.1.0,draft,,SIPhStatutComposantAdmOncoFAIRValueSet,null,"Value Set pour StatutComposantAdm","StructureDefinition/oncofair-ma-component-administration-status","Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-statutvalidpharm-oncofair-valueset,0.1.0,draft,,SIPhStatutValidPharmOncoFAIRValueSet,null,"Value Set pour StatutValidPharm","StructureDefinition/oncofair-pharmacist-advice","Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-type-liasion-oncofair-valueset,0.1.0,draft,,SIPhTypeLiasionOncoFAIRValueSet,null,"Value Set pour Type Liaison",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-typecomposant-oncofair-valueset,0.1.0,draft,,SIPhTypeComposantOncoFAIRValueSet,null,"Value Set pour TypeComposant","StructureDefinition/oncofair-medication-type","Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-typeeltpla-oncofair-valueset,0.1.0,draft,,SIPhTypeEltPLAOncoFAIRValueSet,null,"Value Set pour TypeEltPLA","StructureDefinition/oncofair-medicationrequest-element,StructureDefinition/oncofair-medicationadministration-element","Internal"
http://ltsi.univ-rennes.fr/ValueSet/siph-typeevenement-oncofair-valueset,0.1.0,draft,,SIPhTypeEvenementOncoFAIRValueSet,null,"Value Set pour TypeEvenement",,"Internal"
http://ltsi.univ-rennes.fr/ValueSet/voie-administration-valueset,0.1.0,draft,,VoieAdministrationValueSet,null,"Value Set pour la voie d'administration","StructureDefinition/oncofair-medicationrequest-element,StructureDefinition/oncofair-medicationadministration-element","Internal"
