URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/action-cardinality-behavior,5.0.0,draft,"2.16.840.1.113883.4.642.3.807,2.16.840.1.113883.4.642.3.790",ActionCardinalityBehavior,Action Cardinality Behavior,"Defines behavior for an action or a group for how many times that item may be repeated.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.3051",ActionCode,Action Code,"Provides examples of actions to be performed.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-condition-kind,5.0.0,draft,"2.16.840.1.113883.4.642.3.798,2.16.840.1.113883.4.642.3.815",ActionConditionKind,Action Condition Kind,"Defines the kinds of conditions that can appear on actions.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-grouping-behavior,5.0.0,draft,"2.16.840.1.113883.4.642.3.782,2.16.840.1.113883.4.642.3.799",ActionGroupingBehavior,Action Grouping Behavior,"Defines organization behavior of a group.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-participant-function,5.0.0,draft,"2.16.840.1.113883.4.642.3.3052",ActionParticipantFunction,Action Participant Function,"The function performed by the participant for the action.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-participant-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.794,2.16.840.1.113883.4.642.3.811",ActionParticipantType,Action Participant Type,"The type of participant for the action.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-precheck-behavior,5.0.0,draft,"2.16.840.1.113883.4.642.3.788,2.16.840.1.113883.4.642.3.805",ActionPrecheckBehavior,Action Precheck Behavior,"Defines selection frequency behavior for an action or group.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-reason-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.3053",ActionReasonCode,Action Reason Code,"Provides examples of reasons for actions to be performed.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-relationship-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.796,2.16.840.1.113883.4.642.3.813",ActionRelationshipType,Action Relationship Type,"Defines the types of relationships between actions.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-required-behavior,5.0.0,draft,"2.16.840.1.113883.4.642.3.786,2.16.840.1.113883.4.642.3.803",ActionRequiredBehavior,Action Required Behavior,"Defines expectations around whether an action or action group is required.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-selection-behavior,5.0.0,draft,"2.16.840.1.113883.4.642.3.784,2.16.840.1.113883.4.642.3.801",ActionSelectionBehavior,Action Selection Behavior,"Defines selection behavior of a group.","StructureDefinition/protocol","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.809,2.16.840.1.113883.4.642.3.792",ActionType,Action Type,"The type of action to be performed.","StructureDefinition/protocol","THO"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/prescription-item","SCT"
http://hl7.org/fhir/ValueSet/administration-method-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.90,2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/prescription-item,StructureDefinition/administration-report","SCT"
http://hl7.org/fhir/ValueSet/administration-subpotent-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.3128",MedicationAdministrationSubpotentReason,MedicationAdministration Subpotent Reason,"MedicationAdministration Subpotent Reason","StructureDefinition/administration-report","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/oncology-patient,StructureDefinition/oncology-practitioner","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/prescription,StructureDefinition/prescription-item,StructureDefinition/additional-information,StructureDefinition/Medical-liability-unit,StructureDefinition/protocol,StructureDefinition/oncology-patient,StructureDefinition/oncology-practitioner,StructureDefinition/Stay,StructureDefinition/oncology-medication,StructureDefinition/administration-report,StructureDefinition/associated-device,StructureDefinition/accomodation-unit","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/approach-site-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureAdministrationSites,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/prescription-item,StructureDefinition/administration-report","SCT"
http://hl7.org/fhir/ValueSet/body-site,5.0.0,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/additional-information","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-performed,5.0.0,draft,"2.16.840.1.113883.4.642.3.3000",CarePlanActivityPerformed,Care Plan Activity Performed,"Example codes indicating the care plan activity that was performed. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/prescription","SCT"
http://hl7.org/fhir/ValueSet/care-plan-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.136,2.16.840.1.113883.4.642.2.67,2.16.840.1.113883.4.642.3.148",CarePlanCategory,Care Plan Category,"Example codes indicating the category a care plan falls within.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/prescription","SCT"
http://hl7.org/fhir/ValueSet/care-plan-intent,5.0.0,draft,"2.16.840.1.113883.4.642.3.150,2.16.840.1.113883.4.642.3.141",CarePlanIntent,Care Plan Intent,"Codes indicating the degree of authority/intentionality associated with a care plan.","StructureDefinition/prescription","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/clinical-findings,5.0.0,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.3.227,2.16.840.1.113883.4.642.2.115",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/prescription,StructureDefinition/protocol","SCT"
http://hl7.org/fhir/ValueSet/condition-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.161,2.16.840.1.113883.4.642.2.72,2.16.840.1.113883.4.642.3.152",ConditionProblemDiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/prescription-item,StructureDefinition/protocol,StructureDefinition/Stay","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,5.0.0,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,Data Absent Reason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/additional-information","THO"
http://hl7.org/fhir/ValueSet/days-of-week,5.0.0,active,"2.16.840.1.113883.4.642.3.512,2.16.840.1.113883.4.642.2.302,2.16.840.1.113883.4.642.3.506",DaysOfWeek,Days Of Week,"The days of the week.","StructureDefinition/prescription-item","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/definition-topic,5.0.0,draft,"2.16.840.1.113883.4.642.3.794,2.16.840.1.113883.4.642.3.777",DefinitionTopic,Definition Topic,"High-level categorization of the definition, used for searching, sorting, and filtering.","StructureDefinition/protocol","THO"
http://hl7.org/fhir/ValueSet/device-correctiveactionscope,5.0.0,active,"2.16.840.1.113883.4.642.3.3041",DeviceCorrectiveActionScope,Device Corrective Action Scope,"Device - Corrective action scope","StructureDefinition/associated-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-nametype,5.0.0,draft,"2.16.840.1.113883.4.642.3.1083",DeviceNameType,Device Name Type,"The type of name the device is referred by.","StructureDefinition/associated-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-productidentifierinudi,5.0.0,active,"2.16.840.1.113883.4.642.3.3039",DeviceProductionIdentifierInUDI,Device Production Identifier In UDI,"Device Production Identifier in UDI","StructureDefinition/associated-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-property-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3195",DeviceType,Device Property Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/associated-device","SCT,hl7.terminology.r5,Other"
http://hl7.org/fhir/ValueSet/device-safety,5.0.0,draft,"2.16.840.1.113883.4.642.3.213,2.16.840.1.113883.4.642.3.893",DeviceSafety,Device Safety,"Codes used to identify medical devices safety characteristics. These codes are taken from the [NCI Thesaurus](https://ncit.nci.nih.gov/ncitbrowser/pages/home.jsf) and are provided here as a suggestive example.","StructureDefinition/associated-device","Other"
http://hl7.org/fhir/ValueSet/device-specification-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.3197",DeviceSpecificationCategory,Device Specification Category,"The kind of standards used by the device.","StructureDefinition/associated-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-specification-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3204",DeviceSpecificationType,Device Specification Type,"The type or specification of a standard that devices can adhere to","StructureDefinition/associated-device","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/device-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.1376",DeviceType,Device Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/associated-device","SCT,hl7.terminology.r5,Other"
http://hl7.org/fhir/ValueSet/devicedefinition-regulatory-identifier-type,5.0.0,active,"2.16.840.1.113883.4.642.3.3311",DeviceDefinitionRegulatoryIdentifierType,Device Definition Regulatory Identifier Type,"Regulatory Identifier type","StructureDefinition/associated-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/devicedefinition-relationtype,5.0.0,active,"2.16.840.1.113883.4.642.3.3040",DeviceDefinitionRelationType,Device Definition Relation Type,"Description Needed Here","StructureDefinition/associated-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/encounter-admit-source,5.0.0,draft,"2.16.840.1.113883.4.642.3.257,2.16.840.1.113883.4.642.2.144,2.16.840.1.113883.4.642.3.252",AdmitSource,Admit Source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","StructureDefinition/Stay","THO"
